Point d'echantillonnage,Nom,Localisation,Administration,Latitude,Longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BLAP-0.5,Parc Stinson,"Parc Stinson, aæ la hauteur du boul. Lasalle et de la rue Lyette.",LaSalle,"45,4281974399","-73,6655148484",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-01,Parc Canal de Lachine (cabouse),"Parc Canal de Lachine, aæ la hauteur av. Dollard et de la Berge-du-Canal",Lachine,"45,4412218555","-73,64582041",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-02,Parc Canal de Lachine (H2O),"Parc Canal de Lachine, aæ la hauteur des rues Saint-Patrick et d'Argenson",Le Sud-Ouest,"45,4790985493","-73,5738497417",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
BLAP-1,Parc La Becane,"Parc La Becane, aæ la hauteur boul. Lasalle et 68ieme av.",LaSalle,"45,4149546932","-73,6287247564",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-10,Bout de la rue Hall,"Verdun, sud de l'ele des Soeurs, extremite sud du ch. de la Pointe-Sud.",Verdun,"45,4495911138","-73,5470037208",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
BLAP-10.5,Parc Adrien-D.-Archambault,"Parc Adrien-D.-Archambault, bout de la rue Andre-Prevost",Verdun,"45,4468586506","-73,561134424",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BLAP-2,Terrasse Chatelle,"Lasalle, 50m au sud de l'intersection du boul.Lasalle et de l'av. 40e.",LaSalle,"45,4157333498","-73,6154233797",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
BLAP-2.2,Parc des Rapides (T.Serre),"Parc des rapides, 300m aæ l'est de l'inters. du boul. Lasalle et de la rue Raymond",LaSalle,"45,41936076","-73,6032382593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLAP-2.5,Parc des Rapides (T.Serre),"Parc des Rapides, Terrasse Serre, aæ la hauteur des boul. Lasalle et Bishop-Power",LaSalle,"45,4264527832","-73,5952430759",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-2.7,Parc O'Reilley,"Parc Georges-O'Reilly, 300m au sud de l'inters. du boul. Lasalle et de la rue Stephens",Verdun,"45,4411740533","-73,5762546406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLAP-2.75,Bassin de paÈche (Ter. Serre),"Lasalle, boul. LaSalle, 150m aæ l'est de l'intersection du boul. St-Joseph et de l'av. 7e, au ponceau du bassin du pole des rapides de Lachine.",Verdun,"45,4290760206","-73,5920949642",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
BLAP-2.8,Parc O'Reilley (Natatorium),"Parc Hon. George O'Reilley, aæ hauteur rue Stephens, quai du Natatorium",Verdun,"45,4431908074","-73,5740532519",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
BLAP-3,Parc O'Reilley (quai Tortue),"Parc Hon. George O'Reilley, aæ hauteur rue Brault, quai de la Tortue",Verdun,"45,4474013799","-73,568873267",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-4,Parc Desmarchais,"Parc Desmarchais, aæ la hauteur du boul. Lasalle et av. Desmarchais",Verdun,"45,4541286344","-73,5637255094",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-4.5,Pont Champlain,"sous le pont Champlain, aæ partir de la rive de Montreal",Le Sud-Ouest,"45,47107794","-73,5523011112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-5,rue Cours du fleuve,"Verdun, ele des Soeurs, 200m aæ l'est de la rue Cours du fleuve, en aval de l'estacade du pont Champlain.",Verdun,"45,4669052907","-73,531932097",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAP-5.5,"Parc Marin, Ile des Soeurs","Verdun, ele des Soeurs, 100m aæ l'ouest de l'intersection des ch. du Golf et du boul. Marguerite-Bourgeoys, Parc Marin.",Verdun,"45,4615325651","-73,556701275",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
BLAP-6,Parc Cours-du-Fleuve (pte N),"Ile des Soeurs, piste cyclable pointe nord, aæ la hauteur du ch.de la Pointe-Nord",Verdun,"45,4745138402","-73,5410337861",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-7,Parc Cours-du-Fleuve (pont),"ele des Soeurs, piste cyclable pointe nord, aæ la hauteur boul. R-Levesque et rue Estacade du Pont Champlain",Verdun,"45,4701541443","-73,5341678021",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLAP-8,Jetee Bikerdike,"Ville-Marie, extremite nord de l'av. Pierre-Dupuy, Parc de la Cite-du-Ha¢vre, 300m en aval du pont de la Concorde.",Ville-Marie,"45,5078815685","-73,5428839288",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
BLAP-8.5,Parc Cite-du-Havre Habitat 67,"Parc de la Cite-du-Ha¢vre, derriere Habitat 67",Ville-Marie,"45,5005281771","-73,5428231616",0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
BLAP-9,Parc West-Vancouver,"Ile des Soeurs, Parc West-Vancouver, aæ la hauteur du boul. de l'Ile-des-Soeurs et rue Darwin",Verdun,"45,4561404031","-73,5419549905",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-170,Plage du parc Jean-Drapeau,Page du parc Jean-Drapeau,Ville-Marie,"45,4982554719","-73,5234560711",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FSL-180,Port Sainte-Helene,"Ville-Marie, ele Sainte-Helene, extremite nord de l'av. du Port, rampe de mise aæ l'eau du Port Sainte-Helene.",Ville-Marie,"45,5274809901","-73,5357004904",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FSL-185,bassin d'Aviron,"Parc Jean Drapeau, bassin d'Aviron, extremite nord, au bout du quai central.",Ville-Marie,"45,517040929","-73,5263298657",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FSL-190,Parc J.-Drapeau (pl.Nations),"Ile Sainte-Helene, Parc Jean-Drapeau, ancienne Place des Nations",Ville-Marie,"45,506499332","-73,5328610369",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-200,Marina du Vieux-Port,"Marina du Vieux-Port de Montreal, rue Quai-Jacques-Cartier",Ville-Marie,"45,5060457683","-73,5501352133",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-201,Quai Jacques-Cartier,"Ville-Marie, 350m aæ l'est de l'intersection des rues Saint-Gabriel et de la Commune, Quai Jacques-Cartier, quai principal du Port d'Escale.",Ville-Marie,"45,5053211569","-73,5514872868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSL-205,Bassin de l'Horloge,"Vieux-Port de Montreal, 250m aæ l'est de l'inters. de la rue St-Andre et de la rue Commune E., quai de l'horloge",Ville-Marie,"45,5127073133","-73,5458904318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FSL-300,Parc Prom. Bellerive (amont),Parc de la Promenade Bellerive aæ la hauteur de la rue Bellerive et av.Mercier,Mercier-Hochelaga-Maisonneuve,"45,5952677651","-73,5078879474",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-310,Parc Prom. Bellerive (aval),Parc de la Promenade Bellerive aæ la hauteur de rue Bellerive et av.Gonthier,Mercier-Hochelaga-Maisonneuve,"45,6098802855","-73,507173851",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-330,Parc Rene-Labrosse,"Parc Rene-Labrosse, aæ la hauteur de pl. de l'eglise et Sainte-Julie",Montreal-Est,"45,6299023617","-73,4946350187",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
